stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1,,Chengalpattu,,12.6933333333,79.9811111111,,,0,
2,,Chennai Beach,,13.0938888889,80.2925,,,0,
3,,Chennai Egmore,,13.0777777778,80.2602777778,,,0,
4,,Chennai Fort,,13.0830555556,80.2825,,,0,
5,,Chennai Park,,13.0805555556,80.2730555556,,,0,
6,,Chepauk,,13.0616666667,80.2802777778,,,0,
7,,Chetpet,,13.0741666667,80.2425,,,0,
8,,Chintadripet,,13.0736111111,80.2744444444,,,0,
9,,Chromepet,,12.9516666667,80.1411111111,,,0,
10,,Greenways Road,,13.0219444444,80.2527777778,,,0,
11,,Guduvancheri,,12.8338888889,80.05,,,0,
12,,Guindy,,13.0086111111,80.2127777778,,,0,
13,,Indira Nagar,,12.9969444444,80.2488888889,,,0,
14,,Kanchipuram,,12.8172222222,79.7025,,,0,
15,,Kasturba Nagar,,13.0063888889,80.2477777778,,,0,
16,,Kattangulathur,,12.8005555556,80.0166666667,,,0,
17,,Kodambakkam,,13.0513888889,80.2305555556,,,0,
18,,Kotturpuram,,13.0138888889,80.2480555556,,,0,
19,,Light House,,13.0438888889,80.2761111111,,,0,
20,,Mambalam,,13.0375,80.2275,,,0,
21,,Mandaveli,,13.0269444444,80.2602777778,,,0,
22,,Maraimalai Nagar,,12.7838888889,80.0166666667,,,0,
23,,Minambakkam,,12.9844444444,80.175,,,0,
24,,Nungambakkam,,13.0655555556,80.2327777778,,,0,
25,,Palavanthangal,,12.9902777778,80.1880555556,,,0,
26,,Pallavaram,,12.9677777778,80.1522222222,,,0,
27,,Palur,,12.9838888889,79.6691666667,,,0,
28,,Paranur,,12.7172222222,79.9858333333,,,0,
29,,Park Town,,13.0797222222,80.2775,,,0,
30,,Perungalathur,,12.9005555556,80.0833333333,,,0,
31,,Perungudi,,12.975,80.2311111111,,,0,
32,,Saidapet,,13.0233333333,80.2238888889,,,0,
33,,Singaperumal Koil,,12.7672222222,80,,,0,
34,,St. Thomas Mount,,12.9947222222,80.1994444444,,,0,
35,,Tambaram,,12.9258333333,80.1183333333,,,0,
36,,Tambaram Sanatorium,,12.9377777778,80.1313888889,,,0,
37,,Tharamani,,12.9786111111,80.2408333333,,,0,
38,,Thirumayilai,,13.0355555556,80.2675,,,0,
39,,Thiruvanmiyur,,12.9880555556,80.2511111111,,,0,
40,,Tirumalpur,,12.5672222222,79.4025,,,0,
41,,Tirusulam,,12.9802777778,80.1658333333,,,0,
42,,Tiruvellikeni,,13.0552777778,80.2808333333,,,0,
43,,Urapakkam,,12.8672222222,80.0666666667,,,0,
44,,Vandalur,,12.8838888889,80.0666666667,,,0,
45,,Velachery,,12.9672222222,80.2194444444,,,0,
46,,Walajabad,,12.7838888889,79.8191666667,,,0,
