"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id"
"MSB-VLCY","WDS","BVL-WDS-1","Towards Velachery","BVL1",0,,
"MSB-VLCY","WDS","BVL-WDS-3","Towards Velachery","BVL3",0,,
"MSB-VLCY","WDS","BVL-WDS-5","Towards Velachery","BVL5",0,,
"MSB-VLCY","WDS","BVL-WDS-7","Towards Velachery","BVL7",0,,
"MSB-VLCY","WDS","BVL-WDS-9","Towards Velachery","BVL9",0,,
"MSB-VLCY","WDS","BVL-WDS-11","Towards Velachery","BVL11",0,,
"MSB-VLCY","WDS","BVL-WDS-13","Towards Velachery","BVL13",0,,
"MSB-VLCY","WDS","BVL-WDS-15","Towards Velachery","BVL15",0,,
"MSB-VLCY","WDS","BVL-WDS-17","Towards Velachery","BVL17",0,,
"MSB-VLCY","WDS","BVL-WDS-19","Towards Velachery","BVL19",0,,
"MSB-VLCY","WDS","BVL-WDS-21","Towards Velachery","BVL21",0,,
"MSB-VLCY","WDS","BVL-WDS-23","Towards Velachery","BVL23",0,,
"MSB-VLCY","WDS","BVL-WDS-25","Towards Velachery","BVL25",0,,
"MSB-VLCY","WDS","BVL-WDS-27","Towards Velachery","BVL27",0,,
"MSB-VLCY","WDS","BVL-WDS-29","Towards Velachery","BVL29",0,,
"MSB-VLCY","WDS","BVL-WDS-31","Towards Velachery","BVL31",0,,
"MSB-VLCY","WDS","BVL-WDS-33","Towards Velachery","BVL33",0,,
"MSB-VLCY","WDS","BVL-WDS-35","Towards Velachery","BVL35",0,,
"MSB-VLCY","WDS","BVL-WDS-37","Towards Velachery","BVL37",0,,
"MSB-VLCY","WDS","BVL-WDS-39","Towards Velachery","BVL39",0,,
"MSB-VLCY","WDS","BVL-WDS-41","Towards Velachery","BVL41",0,,
"MSB-VLCY","WDS","BVL-WDS-43","Towards Velachery","BVL43",0,,
"MSB-VLCY","WDS","BVL-WDS-45","Towards Velachery","BVL45",0,,
"MSB-VLCY","WDS","BVL-WDS-47","Towards Velachery","BVL47",0,,
"MSB-VLCY","WDS","BVL-WDS-49","Towards Velachery","BVL49",0,,
"MSB-VLCY","WDS","BVL-WDS-51","Towards Velachery","BVL51",0,,
"MSB-VLCY","WDS","BVL-WDS-53","Towards Velachery","BVL53",0,,
"MSB-VLCY","WDS","BVL-WDS-55","Towards Velachery","BVL55",0,,
"MSB-VLCY","WDS","BVL-WDS-57","Towards Velachery","BVL57",0,,
"MSB-VLCY","WDS","BVL-WDS-59","Towards Velachery","BVL59",0,,
"MSB-VLCY","WDS","BVL-WDS-61","Towards Velachery","BVL61",0,,
"MSB-VLCY","WDS","BVL-WDS-63","Towards Velachery","BVL63",0,,
"MSB-VLCY","WDS","BVL-WDS-65","Towards Velachery","BVL65",0,,
"MSB-VLCY","WDS","BVL-WDS-67","Towards Velachery","BVL67",0,,
"MSB-VLCY","WDS","BVL-WDS-69","Towards Velachery","BVL69",0,,
"MSB-VLCY","WDS","BVL-WDS-71","Towards Velachery","BVL71",0,,
"MSB-VLCY","WDS","BVL-WDS-73","Towards Velachery","BVL73",0,,
"MSB-VLCY","WDS","BVL-WDS-75","Towards Velachery","BVL75",0,,
"MSB-VLCY","WDS","BVL-WDS-77","Towards Velachery","BVL77",0,,
"MSB-VLCY","WDS","BVL-WDS-79","Towards Velachery","BVL79",0,,
"MSB-VLCY","WDS","BVL-WDS-81","Towards Velachery","BVL81",0,,
"MSB-VLCY","WDS","BVL-WDS-83","Towards Velachery","BVL83",0,,
"MSB-VLCY","WDS","BVL-WDS-85","Towards Velachery","BVL85",0,,
