trip_id,service_id,trip_short_name,stop_name,time,sequence
B2SUN,SUN,B2,Tambaram,04:00:00,1
B2SUN,SUN,B2,Tambaram Sanatorium,04:04:00,2
B2SUN,SUN,B2,Chromepet,04:07:00,3
B2SUN,SUN,B2,Pallavaram,04:10:00,4
B2SUN,SUN,B2,Thirusulam,04:13:00,5
B2SUN,SUN,B2,Minambakkam,04:15:00,6
B2SUN,SUN,B2,Palavanthangal,04:18:00,7
B2SUN,SUN,B2,St.Thomas Mount,04:21:00,8
B2SUN,SUN,B2,Guindy,04:24:00,9
B2SUN,SUN,B2,Saidapet,04:27:00,10
B2SUN,SUN,B2,Mambalam,04:30:00,11
B2SUN,SUN,B2,Kodambakkam,04:32:00,12
B2SUN,SUN,B2,Nungambakkam,04:34:00,13
B2SUN,SUN,B2,Chetpet,04:37:00,14
B2SUN,SUN,B2,Chennai Egmore,04:41:00,15
B2SUN,SUN,B2,Chennai Park,04:44:00,16
B2SUN,SUN,B2,Chennai Fort,04:47:00,17
B2SUN,SUN,B2,Chennai Beach,04:55:00,18
B4SUN,SUN,B4,Tambaram,04:20:00,1
B4SUN,SUN,B4,Tambaram Sanatorium,04:24:00,2
B4SUN,SUN,B4,Chromepet,04:27:00,3
B4SUN,SUN,B4,Pallavaram,04:30:00,4
B4SUN,SUN,B4,Thirusulam,04:33:00,5
B4SUN,SUN,B4,Minambakkam,04:35:00,6
B4SUN,SUN,B4,Palavanthangal,04:38:00,7
B4SUN,SUN,B4,St.Thomas Mount,04:41:00,8
B4SUN,SUN,B4,Guindy,04:44:00,9
B4SUN,SUN,B4,Saidapet,04:47:00,10
B4SUN,SUN,B4,Mambalam,04:50:00,11
B4SUN,SUN,B4,Kodambakkam,04:52:00,12
B4SUN,SUN,B4,Nungambakkam,04:54:00,13
B4SUN,SUN,B4,Chetpet,04:57:00,14
B4SUN,SUN,B4,Chennai Egmore,05:01:00,15
B4SUN,SUN,B4,Chennai Park,05:04:00,16
B4SUN,SUN,B4,Chennai Fort,05:07:00,17
B4SUN,SUN,B4,Chennai Beach,05:15:00,18
B6SUN,SUN,B6,Tambaram,04:40:00,1
B6SUN,SUN,B6,Tambaram Sanatorium,04:44:00,2
B6SUN,SUN,B6,Chromepet,04:47:00,3
