"Service Id","Train Nos.","Tambaram","Tambaram Sanatorium","Chromepet","Pallavaram","Thirusulam","Minambakkam","Palavanthangal","St.Thomas Mount","Guindy","Saidapet","Mambalam","Kodambakkam","Nungambakkam","Chetpet","Chennai Egmore","Chennai Park","Chennai Fort","Chennai Beach"
"WDS","B2","4:00","4:04","4:07","4:10","4:13","4:15","4:18","4:21","4:24","4:27","4:30","4:32","4:34","4:37","4:41","4:44","4:47","4:55"
"WDS","B4","4:20","4:24","4:27","4:30","4:33","4:35","4:38","4:41","4:44","4:47","4:50","4:52","4:54","4:57","5:01","5:04","5:07","5:15"
"WDS","B6","4:40","4:44","4:47","4:50","4:53","4:55","4:58","5:01","5:04","5:07","5:10","5:12","5:14","5:17","5:21","5:24","5:27","5:35"
"WDS","CB2","5:00","5:04","5:07","5:10","5:13","5:15","5:18","5:21","5:24","5:27","5:30","5:32","5:34","5:37","5:41","5:44","5:47","5:55"
"WDS","B8","5:15","5:19","5:22","5:25","5:28","5:30","5:33","5:36","5:39","5:42","5:45","5:47","5:49","5:52","5:56","5:59","6:02","6:10"
"WDS","CB4","5:30","5:34","5:37","5:40","5:43","5:45","5:48","5:51","5:54","5:57","6:00","6:02","6:04","6:07","6:11","6:14","6:17","6:25"
"WDS","CB6","5:45","5:49","5:52","5:55","5:58","6:00","6:03","6:06","6:09","6:12","6:15","6:17","6:19","6:22","6:26","6:29","6:32","6:40"
"WDS","CB8","6:00","6:04","6:07","6:10","6:13","6:15","6:18","6:21","6:24","6:27","6:30","6:32","6:34","6:37","6:41","6:44","6:47","6:55"
"WDS","B10","6:12","6:16","6:19","6:22","6:25","6:27","6:30","6:33","6:36","6:39","6:42","6:44","6:46","6:49","6:53","6:56","6:59","7:07"
"WDS","B12","6:22","6:26","6:29","6:32","6:35","6:37","6:40","6:43","6:46","6:49","6:52","6:54","6:56","6:59","7:03","7:06","7:09","7:17"
"WDS","B14","6:30","6:34","6:37","6:40","6:43","6:45","6:48","6:51","6:54","6:57","7:00","7:02","7:04","7:07","7:11","7:14","7:17","7:25"
"WDS","CB10","6:38","6:42","6:45","6:48","6:51","6:53","6:56","6:59","7:02","7:05","7:08","7:10","7:12","7:15","7:19","7:22","7:25","7:33"
"WDS","B16","6:47","6:51","6:54","6:57","7:00","7:02","7:05","7:08","7:11","7:14","7:17","7:19","7:21","7:24","7:28","7:31","7:34","7:42"
"WDS","B18","6:57","7:01","7:04","7:07","7:10","7:12","7:15","7:18","7:21","7:24","7:27","7:29","7:31","7:34","7:38","7:41","7:44","7:52"
"WDS","B20","7:02","7:06","7:09","7:12","7:15","7:17","7:20","7:23","7:26","7:29","7:32","7:34","7:36","7:39","7:43","7:46","7:49","7:57"
"WDS","B22","7:12","7:16","7:19","7:22","7:25","7:27","7:30","7:33","7:36","7:39","7:42","7:44","7:46","7:49","7:53","7:56","7:59","8:07"
"WDS","TLB2","7:19","7:23","7:26","7:29","7:32","7:34","7:37","7:40","7:43","7:46","7:49","7:51","7:53","7:56","8:00","8:03","8:06","8:14"
"WDS","CB12","7:32","7:36","7:39","7:42","7:45","7:47","7:50","7:53","7:56","7:59","8:02","8:04","8:06","8:09","8:13","8:16","8:19","8:27"
"WDS","B24","7:44","7:48","7:51","7:54","7:57","7:59","8:02","8:05","8:08","8:11","8:14","8:16","8:18","8:21","8:25","8:28","8:31","8:39"
"WDS","CB14F","7:50",,,,,,,,"8:04",,"8:09",,,,"8:17","8:20","8:23","8:32"
"WDS","B26","7:56","8:00","8:03","8:06","8:09","8:11","8:14","8:17","8:20","8:23","8:26","8:28","8:30","8:33","8:37","8:40","8:43","8:51"
"WDS","CB16F","8:10",,,,,,,,"8:24",,"8:29",,,,"8:37","8:40","8:43","8:57"
"WDS","B28","8:06","8:10","8:13","8:16","8:19","8:21","8:24","8:27","8:30","8:33","8:36","8:38","8:40","8:43","8:47","8:50","8:53","9:01"
"WDS","B30","8:16","8:20","8:23","8:26","8:29","8:31","8:34","8:37","8:40","8:43","8:46","8:48","8:50","8:53","8:57","9:00","9:03","9:11"
"WDS","B32","8:24","8:28","8:31","8:34","8:37","8:39","8:42","8:45","8:48","8:51","8:54","8:56","8:58","9:01","9:05","9:08","9:11","9:19"
"WDS","CB18F","8:20",,,,,,,,"8:34",,"8:39",,,,"8:47","8:50","8:53","9:15"
"WDS","B34","8:32","8:36","8:39","8:42","8:45","8:47","8:50","8:53","8:56","8:59","9:02","9:04","9:06","9:09","9:13","9:16","9:19","9:27"
"WDS","TLB4","8:40",,,,,,,,"8:54",,"8:59",,,,"9:07","9:10","9:13","9:30"
"WDS","B36","8:37","8:41","8:44","8:47","8:50","8:52","8:55","8:58","9:01","9:04","9:07","9:09","9:11","9:14","9:18","9:21","9:24","9:32"
"WDS","B38","8:42","8:46","8:49","8:52","8:55","8:57","9:00","9:03","9:06","9:09","9:12","9:14","9:16","9:19","9:23","9:26","9:29","9:37"
"WDS","B40",,,,,,,,"9:05","9:08","9:11","9:14","9:17","9:19","9:22","9:25","9:28","9:31","9:40"
