"Service Id","Train Nos.","Chennai Beach","Chennai Fort","Park Town","Chintadripet","Chepauk","Tiruvellikeni","Light House","Thirumayilai","Mandaveli","Greenways Road","Kotturpuram","Kasturba Nagar","Indira Nagar","Thiruvanmiyur","Tharamani","Perungudi","Velachery"
"SUN","BVL1",6.05,6.09,6.11,6.13,6.15,6.17,6.19,6.22,6.24,6.26,6.28,6.3,6.32,6.33,6.35,6.37,6.45
"SUN","BVL3",6.2,6.24,6.26,6.28,6.3,6.32,6.34,6.37,6.39,6.41,6.43,6.45,6.47,6.48,6.5,6.52,7
"SUN","BVL5",6.4,6.44,6.46,6.48,6.5,6.52,6.54,6.57,6.59,7.01,7.03,7.05,7.07,7.08,7.11,7.13,7.2
"SUN","BVL7",7,7.04,7.06,7.08,7.1,7.12,7.14,7.17,7.19,7.21,7.23,7.25,7.27,7.28,7.31,7.33,7.4
"SUN","BVL9",7.2,7.24,7.26,7.28,7.3,7.32,7.34,7.37,7.39,7.41,7.43,7.45,7.47,7.48,7.51,7.53,8
"SUN","BVL11",7.4,7.44,7.46,7.48,7.5,7.52,7.54,7.57,7.59,8.01,8.03,8.05,8.07,8.08,8.11,8.13,8.2
"SUN","BVL13",8,8.04,8.06,8.08,8.1,8.12,8.14,8.17,8.19,8.21,8.23,8.25,8.27,8.28,8.31,8.33,8.4
"SUN","BVL15",8.2,8.24,8.26,8.28,8.3,8.32,8.34,8.37,8.39,8.41,8.43,8.45,8.47,8.48,8.51,8.53,9
"SUN","BVL17",8.4,8.44,8.46,8.48,8.5,8.52,8.54,8.57,8.59,9.01,9.03,9.05,9.07,9.08,9.11,9.13,9.2
"SUN","BVL19",9,9.04,9.06,9.08,9.1,9.12,9.14,9.17,9.19,9.21,9.23,9.25,9.27,9.28,9.31,9.33,9.4
"SUN","BVL21",9.2,9.24,9.26,9.28,9.3,9.32,9.34,9.37,9.39,9.41,9.43,9.45,9.47,9.48,9.51,9.53,10
"SUN","BVL23",9.4,9.44,9.46,9.48,9.5,9.52,9.54,9.57,9.59,10.01,10.03,10.05,10.07,10.08,10.11,10.13,10.2
"SUN","BVL25",9.5,9.54,9.56,9.58,10,10.02,10.04,10.07,10.09,10.11,10.13,10.15,10.17,10.18,10.21,10.23,10.3
"SUN","BVL27",10,10.04,10.06,10.08,10.1,10.12,10.14,10.17,10.19,10.21,10.23,10.25,10.27,10.28,10.31,10.33,10.4
"SUN","BVL29",10.2,10.24,10.26,10.28,10.3,10.32,10.34,10.37,10.39,10.41,10.43,10.45,10.47,10.48,10.51,10.53,11
"SUN","BVL31",10.4,10.44,10.46,10.48,10.5,10.52,10.54,10.57,10.59,11.01,11.03,11.05,11.07,11.08,11.11,11.13,11.2
"SUN","BVL33",11,11.04,11.06,11.08,11.1,11.12,11.14,11.17,11.19,11.21,11.23,11.25,11.27,11.28,11.31,11.33,11.4
"SUN","BVL35",11.2,11.24,11.26,11.28,11.3,11.32,11.34,11.37,11.39,11.41,11.43,11.45,11.47,11.48,11.51,11.53,12
"SUN","BVL37",11.4,11.44,11.46,11.48,11.5,11.52,11.54,11.57,11.59,12.01,12.03,12.05,12.07,12.08,12.11,12.13,12.2
"SUN","BVL39",12,12.04,12.06,12.08,12.1,12.12,12.14,12.17,12.19,12.21,12.23,12.25,12.27,12.28,12.31,12.33,12.4
"SUN","BVL41",12.2,12.24,12.26,12.28,12.3,12.32,12.34,12.37,12.39,12.41,12.43,12.45,12.47,12.48,12.51,12.53,13
"SUN","BVL43",12.4,12.44,12.46,12.48,12.5,12.52,12.54,12.57,12.59,13.01,13.03,13.05,13.07,13.08,13.11,13.13,13.2
"SUN","BVL45",13,13.04,13.06,13.08,13.1,13.12,13.14,13.17,13.19,13.21,13.23,13.25,13.27,13.28,13.31,13.33,13.4
"SUN","BVL47",13.2,13.24,13.26,13.28,13.3,13.32,13.34,13.37,13.39,13.41,13.43,13.45,13.47,13.48,13.51,13.53,14
"SUN","BVL49",13.4,13.44,13.46,13.48,13.5,13.52,13.54,13.57,13.59,14.01,14.03,14.05,14.07,14.08,14.11,14.13,14.2
"SUN","BVL51",14,14.04,14.06,14.08,14.1,14.12,14.14,14.17,14.19,14.21,14.23,14.25,14.27,14.28,14.31,14.33,14.4
"SUN","BVL53",14.2,14.24,14.26,14.28,14.3,14.32,14.34,14.37,14.39,14.41,14.43,14.45,14.47,14.48,14.51,14.53,15
"SUN","BVL55",14.4,14.44,14.46,14.48,14.5,14.52,14.54,14.57,14.59,15.01,15.03,15.05,15.07,15.08,15.11,15.13,15.2
"SUN","BVL57",15,15.04,15.06,15.08,15.1,15.12,15.14,15.17,15.19,15.21,15.23,15.25,15.27,15.28,15.31,15.33,15.4
"SUN","BVL59",15.2,15.24,15.26,15.28,15.3,15.32,15.34,15.37,15.39,15.41,15.43,15.45,15.47,15.48,15.51,15.53,16
"SUN","BVL61",15.4,15.44,15.46,15.48,15.5,15.52,15.54,15.57,15.59,16.01,16.03,16.05,16.07,16.08,16.11,16.13,16.2
"SUN","BVL63",16,16.04,16.06,16.08,16.1,16.12,16.14,16.17,16.19,16.21,16.23,16.25,16.27,16.28,16.31,16.33,16.4
"SUN","BVL65",16.2,16.24,16.26,16.28,16.3,16.32,16.34,16.37,16.39,16.41,16.43,16.45,16.47,16.48,16.51,16.53,17
"SUN","BVL67",16.4,16.44,16.46,16.48,16.5,16.52,16.54,16.57,16.59,17.01,17.03,17.05,17.07,17.08,17.11,17.13,17.2
"SUN","BVL69",17,17.04,17.06,17.08,17.1,17.12,17.14,17.17,17.19,17.21,17.23,17.25,17.27,17.28,17.31,17.33,17.4
"SUN","BVL71",17.2,17.24,17.26,17.28,17.3,17.32,17.34,17.37,17.39,17.41,17.43,17.45,17.47,17.48,17.51,17.53,18
"SUN","BVL73",17.4,17.44,17.46,17.48,17.5,17.52,17.54,17.57,17.59,18.01,18.03,18.05,18.07,18.08,18.11,18.13,18.2
"SUN","BVL75",18,18.04,18.06,18.08,18.1,18.12,18.14,18.17,18.19,18.21,18.23,18.25,18.27,18.28,18.31,18.33,18.4
"SUN","BVL77",18.2,18.24,18.26,18.28,18.3,18.32,18.34,18.37,18.39,18.41,18.43,18.45,18.47,18.48,18.51,18.53,19
"SUN","BVL79",18.4,18.44,18.46,18.48,18.5,18.52,18.54,18.57,18.59,19.01,19.03,19.05,19.07,19.08,19.11,19.13,19.2
"SUN","BVL81",19,19.04,19.06,19.08,19.1,19.12,19.14,19.17,19.19,19.21,19.23,19.25,19.27,19.28,19.31,19.33,19.4
"SUN","BVL83",19.2,19.24,19.26,19.28,19.3,19.32,19.34,19.37,19.39,19.41,19.43,19.45,19.47,19.48,19.51,19.53,20
"SUN","BVL85",19.4,19.44,19.46,19.48,19.5,19.52,19.54,19.57,19.59,20.01,20.03,20.05,20.07,20.08,20.11,20.13,20.2
"SUN","BVL87",20,20.04,20.06,20.08,20.1,20.12,20.14,20.17,20.19,20.21,20.23,20.25,20.27,20.28,20.31,20.33,20.4
"SUN","BVL89",20.3,20.34,20.36,20.38,20.4,20.42,20.44,20.47,20.49,20.51,20.53,20.55,20.57,20.58,21.01,21.03,21.1
"SUN","BVL91",21,21.04,21.06,21.08,21.1,21.12,21.14,21.17,21.19,21.21,21.23,21.25,21.27,21.28,21.31,21.33,21.4
"SUN","BVL93",21.3,21.34,21.36,21.38,21.4,21.42,21.44,21.47,21.49,21.51,21.53,21.55,21.57,21.58,22.01,22.03,22.1
"SUN","BVL95",22,22.04,22.06,22.08,22.1,22.12,22.14,22.17,22.19,22.21,22.23,22.25,22.27,22.28,22.31,22.33,22.4
