trip_id,service_id,trip_short_name,stop_name,time,sequence
BVL1SUN,SUN,BVL1,Chennai Beach,06:05:00,1
BVL1SUN,SUN,BVL1,Chennai Fort,06:09:00,2
BVL1SUN,SUN,BVL1,Park Town,06:11:00,3
BVL1SUN,SUN,BVL1,Chintadripet,06:13:00,4
BVL1SUN,SUN,BVL1,Chepauk,06:15:00,5
BVL1SUN,SUN,BVL1,Tiruvellikeni,06:17:00,6
BVL1SUN,SUN,BVL1,Light House,06:19:00,7
BVL1SUN,SUN,BVL1,Thirumayilai,06:22:00,8
BVL1SUN,SUN,BVL1,Mandaveli,06:24:00,9
BVL1SUN,SUN,BVL1,Greenways Road,06:26:00,10
BVL1SUN,SUN,BVL1,Kotturpuram,06:28:00,11
BVL1SUN,SUN,BVL1,Kasturba Nagar,06:30:00,12
BVL1SUN,SUN,BVL1,Indira Nagar,06:32:00,13
BVL1SUN,SUN,BVL1,Thiruvanmiyur,06:33:00,14
BVL1SUN,SUN,BVL1,Tharamani,06:35:00,15
BVL1SUN,SUN,BVL1,Perungudi,06:37:00,16
BVL1SUN,SUN,BVL1,Velachery,06:45:00,17
BVL3SUN,SUN,BVL3,Chennai Beach,06:20:00,1
BVL3SUN,SUN,BVL3,Chennai Fort,06:24:00,2
BVL3SUN,SUN,BVL3,Park Town,06:26:00,3
BVL3SUN,SUN,BVL3,Chintadripet,06:28:00,4
BVL3SUN,SUN,BVL3,Chepauk,06:30:00,5
BVL3SUN,SUN,BVL3,Tiruvellikeni,06:32:00,6
BVL3SUN,SUN,BVL3,Light House,06:34:00,7
BVL3SUN,SUN,BVL3,Thirumayilai,06:37:00,8
BVL3SUN,SUN,BVL3,Mandaveli,06:39:00,9
BVL3SUN,SUN,BVL3,Greenways Road,06:41:00,10
BVL3SUN,SUN,BVL3,Kotturpuram,06:43:00,11
BVL3SUN,SUN,BVL3,Kasturba Nagar,06:45:00,12
BVL3SUN,SUN,BVL3,Indira Nagar,06:47:00,13
BVL3SUN,SUN,BVL3,Thiruvanmiyur,06:48:00,14
BVL3SUN,SUN,BVL3,Tharamani,06:50:00,15
BVL3SUN,SUN,BVL3,Perungudi,06:52:00,16
BVL3SUN,SUN,BVL3,Velachery,07:00:00,17
BVL5SUN,SUN,BVL5,Chennai Beach,06:40:00,1
BVL5SUN,SUN,BVL5,Chennai Fort,06:44:00,2
BVL5SUN,SUN,BVL5,Park Town,06:46:00,3
BVL5SUN,SUN,BVL5,Chintadripet,06:48:00,4
BVL5SUN,SUN,BVL5,Chepauk,06:50:00,5
BVL5SUN,SUN,BVL5,Tiruvellikeni,06:52:00,6
BVL5SUN,SUN,BVL5,Light House,06:54:00,7
BVL5SUN,SUN,BVL5,Thirumayilai,06:57:00,8
BVL5SUN,SUN,BVL5,Mandaveli,06:59:00,9
BVL5SUN,SUN,BVL5,Greenways Road,07:01:00,10
BVL5SUN,SUN,BVL5,Kotturpuram,07:03:00,11
BVL5SUN,SUN,BVL5,Kasturba Nagar,07:05:00,12
BVL5SUN,SUN,BVL5,Indira Nagar,07:07:00,13
BVL5SUN,SUN,BVL5,Thiruvanmiyur,07:08:00,14
BVL5SUN,SUN,BVL5,Tharamani,07:11:00,15
BVL5SUN,SUN,BVL5,Perungudi,07:13:00,16
BVL5SUN,SUN,BVL5,Velachery,07:20:00,17
BVL7SUN,SUN,BVL7,Chennai Beach,07:00:00,1
BVL7SUN,SUN,BVL7,Chennai Fort,07:04:00,2
BVL7SUN,SUN,BVL7,Park Town,07:06:00,3
BVL7SUN,SUN,BVL7,Chintadripet,07:08:00,4
BVL7SUN,SUN,BVL7,Chepauk,07:10:00,5
BVL7SUN,SUN,BVL7,Tiruvellikeni,07:12:00,6
BVL7SUN,SUN,BVL7,Light House,07:14:00,7
BVL7SUN,SUN,BVL7,Thirumayilai,07:17:00,8
BVL7SUN,SUN,BVL7,Mandaveli,07:19:00,9
BVL7SUN,SUN,BVL7,Greenways Road,07:21:00,10
BVL7SUN,SUN,BVL7,Kotturpuram,07:23:00,11
BVL7SUN,SUN,BVL7,Kasturba Nagar,07:25:00,12
BVL7SUN,SUN,BVL7,Indira Nagar,07:27:00,13
BVL7SUN,SUN,BVL7,Thiruvanmiyur,07:28:00,14
BVL7SUN,SUN,BVL7,Tharamani,07:31:00,15
BVL7SUN,SUN,BVL7,Perungudi,07:33:00,16
BVL7SUN,SUN,BVL7,Velachery,07:40:00,17
BVL9SUN,SUN,BVL9,Chennai Beach,07:20:00,1
BVL9SUN,SUN,BVL9,Chennai Fort,07:24:00,2
BVL9SUN,SUN,BVL9,Park Town,07:26:00,3
BVL9SUN,SUN,BVL9,Chintadripet,07:28:00,4
BVL9SUN,SUN,BVL9,Chepauk,07:30:00,5
BVL9SUN,SUN,BVL9,Tiruvellikeni,07:32:00,6
BVL9SUN,SUN,BVL9,Light House,07:34:00,7
BVL9SUN,SUN,BVL9,Thirumayilai,07:37:00,8
BVL9SUN,SUN,BVL9,Mandaveli,07:39:00,9
BVL9SUN,SUN,BVL9,Greenways Road,07:41:00,10
BVL9SUN,SUN,BVL9,Kotturpuram,07:43:00,11
BVL9SUN,SUN,BVL9,Kasturba Nagar,07:45:00,12
BVL9SUN,SUN,BVL9,Indira Nagar,07:47:00,13
BVL9SUN,SUN,BVL9,Thiruvanmiyur,07:48:00,14
BVL9SUN,SUN,BVL9,Tharamani,07:51:00,15
BVL9SUN,SUN,BVL9,Perungudi,07:53:00,16
BVL9SUN,SUN,BVL9,Velachery,08:00:00,17
BVL11SUN,SUN,BVL11,Chennai Beach,07:40:00,1
BVL11SUN,SUN,BVL11,Chennai Fort,07:44:00,2
BVL11SUN,SUN,BVL11,Park Town,07:46:00,3
BVL11SUN,SUN,BVL11,Chintadripet,07:48:00,4
BVL11SUN,SUN,BVL11,Chepauk,07:50:00,5
BVL11SUN,SUN,BVL11,Tiruvellikeni,07:52:00,6
BVL11SUN,SUN,BVL11,Light House,07:54:00,7
BVL11SUN,SUN,BVL11,Thirumayilai,07:57:00,8
BVL11SUN,SUN,BVL11,Mandaveli,07:59:00,9
BVL11SUN,SUN,BVL11,Greenways Road,08:01:00,10
BVL11SUN,SUN,BVL11,Kotturpuram,08:03:00,11
BVL11SUN,SUN,BVL11,Kasturba Nagar,08:05:00,12
BVL11SUN,SUN,BVL11,Indira Nagar,08:07:00,13
BVL11SUN,SUN,BVL11,Thiruvanmiyur,08:08:00,14
BVL11SUN,SUN,BVL11,Tharamani,08:11:00,15
BVL11SUN,SUN,BVL11,Perungudi,08:13:00,16
BVL11SUN,SUN,BVL11,Velachery,08:20:00,17
BVL13SUN,SUN,BVL13,Chennai Beach,08:00:00,1
BVL13SUN,SUN,BVL13,Chennai Fort,08:04:00,2
BVL13SUN,SUN,BVL13,Park Town,08:06:00,3
BVL13SUN,SUN,BVL13,Chintadripet,08:08:00,4
BVL13SUN,SUN,BVL13,Chepauk,08:10:00,5
BVL13SUN,SUN,BVL13,Tiruvellikeni,08:12:00,6
BVL13SUN,SUN,BVL13,Light House,08:14:00,7
BVL13SUN,SUN,BVL13,Thirumayilai,08:17:00,8
BVL13SUN,SUN,BVL13,Mandaveli,08:19:00,9
BVL13SUN,SUN,BVL13,Greenways Road,08:21:00,10
BVL13SUN,SUN,BVL13,Kotturpuram,08:23:00,11
BVL13SUN,SUN,BVL13,Kasturba Nagar,08:25:00,12
BVL13SUN,SUN,BVL13,Indira Nagar,08:27:00,13
BVL13SUN,SUN,BVL13,Thiruvanmiyur,08:28:00,14
BVL13SUN,SUN,BVL13,Tharamani,08:31:00,15
BVL13SUN,SUN,BVL13,Perungudi,08:33:00,16
BVL13SUN,SUN,BVL13,Velachery,08:40:00,17
BVL15SUN,SUN,BVL15,Chennai Beach,08:20:00,1
BVL15SUN,SUN,BVL15,Chennai Fort,08:24:00,2
BVL15SUN,SUN,BVL15,Park Town,08:26:00,3
BVL15SUN,SUN,BVL15,Chintadripet,08:28:00,4
BVL15SUN,SUN,BVL15,Chepauk,08:30:00,5
BVL15SUN,SUN,BVL15,Tiruvellikeni,08:32:00,6
BVL15SUN,SUN,BVL15,Light House,08:34:00,7
BVL15SUN,SUN,BVL15,Thirumayilai,08:37:00,8
BVL15SUN,SUN,BVL15,Mandaveli,08:39:00,9
BVL15SUN,SUN,BVL15,Greenways Road,08:41:00,10
BVL15SUN,SUN,BVL15,Kotturpuram,08:43:00,11
BVL15SUN,SUN,BVL15,Kasturba Nagar,08:45:00,12
BVL15SUN,SUN,BVL15,Indira Nagar,08:47:00,13
BVL15SUN,SUN,BVL15,Thiruvanmiyur,08:48:00,14
BVL15SUN,SUN,BVL15,Tharamani,08:51:00,15
BVL15SUN,SUN,BVL15,Perungudi,08:53:00,16
BVL15SUN,SUN,BVL15,Velachery,09:00:00,17
BVL17SUN,SUN,BVL17,Chennai Beach,08:40:00,1
BVL17SUN,SUN,BVL17,Chennai Fort,08:44:00,2
BVL17SUN,SUN,BVL17,Park Town,08:46:00,3
BVL17SUN,SUN,BVL17,Chintadripet,08:48:00,4
BVL17SUN,SUN,BVL17,Chepauk,08:50:00,5
BVL17SUN,SUN,BVL17,Tiruvellikeni,08:52:00,6
BVL17SUN,SUN,BVL17,Light House,08:54:00,7
BVL17SUN,SUN,BVL17,Thirumayilai,08:57:00,8
BVL17SUN,SUN,BVL17,Mandaveli,08:59:00,9
BVL17SUN,SUN,BVL17,Greenways Road,09:01:00,10
BVL17SUN,SUN,BVL17,Kotturpuram,09:03:00,11
BVL17SUN,SUN,BVL17,Kasturba Nagar,09:05:00,12
BVL17SUN,SUN,BVL17,Indira Nagar,09:07:00,13
BVL17SUN,SUN,BVL17,Thiruvanmiyur,09:08:00,14
BVL17SUN,SUN,BVL17,Tharamani,09:11:00,15
