trip_id,service_id,trip_short_name,stop_name,time,sequence
VLB2SUN,SUN,VLB2,Velachery,06:50:00,1
VLB2SUN,SUN,VLB2,Perungudi,06:53:00,2
VLB2SUN,SUN,VLB2,Tharamani,06:55:00,3
VLB2SUN,SUN,VLB2,Thiruvanmiyur,06:58:00,4
VLB2SUN,SUN,VLB2,Indira Nagar,06:59:00,5
VLB2SUN,SUN,VLB2,Kasturba Nagar,07:01:00,6
VLB2SUN,SUN,VLB2,Kotturpuram,07:03:00,7
VLB2SUN,SUN,VLB2,Greenways Road,07:05:00,8
VLB2SUN,SUN,VLB2,Mandaveli,07:07:00,9
VLB2SUN,SUN,VLB2,Thirumayilai,07:09:00,10
VLB2SUN,SUN,VLB2,Light House,07:12:00,11
VLB2SUN,SUN,VLB2,Tiruvellikeni,07:14:00,12
VLB2SUN,SUN,VLB2,Chepauk,07:16:00,13
VLB2SUN,SUN,VLB2,Chintadripet,07:18:00,14
VLB2SUN,SUN,VLB2,Park Town,07:20:00,15
VLB2SUN,SUN,VLB2,Chennai Fort,07:22:00,16
VLB2SUN,SUN,VLB2,Chennai Beach,07:30:00,17
VLB4SUN,SUN,VLB4,Velachery,07:05:00,1
VLB4SUN,SUN,VLB4,Perungudi,07:08:00,2
VLB4SUN,SUN,VLB4,Tharamani,07:10:00,3
VLB4SUN,SUN,VLB4,Thiruvanmiyur,07:13:00,4
VLB4SUN,SUN,VLB4,Indira Nagar,07:14:00,5
VLB4SUN,SUN,VLB4,Kasturba Nagar,07:16:00,6
VLB4SUN,SUN,VLB4,Kotturpuram,07:18:00,7
VLB4SUN,SUN,VLB4,Greenways Road,07:20:00,8
VLB4SUN,SUN,VLB4,Mandaveli,07:22:00,9
VLB4SUN,SUN,VLB4,Thirumayilai,07:24:00,10
VLB4SUN,SUN,VLB4,Light House,07:27:00,11
VLB4SUN,SUN,VLB4,Tiruvellikeni,07:29:00,12
VLB4SUN,SUN,VLB4,Chepauk,07:31:00,13
VLB4SUN,SUN,VLB4,Chintadripet,07:33:00,14
VLB4SUN,SUN,VLB4,Park Town,07:35:00,15
VLB4SUN,SUN,VLB4,Chennai Fort,07:37:00,16
VLB4SUN,SUN,VLB4,Chennai Beach,07:45:00,17
VLB6SUN,SUN,VLB6,Velachery,07:25:00,1
VLB6SUN,SUN,VLB6,Perungudi,07:28:00,2
