trip_id,service_id,trip_short_name,stop_name,time,sequence
BVL1WDS,WDS,BVL1,Chennai Beach,04:15:00,1
BVL1WDS,WDS,BVL1,Chennai Fort,04:19:00,2
BVL1WDS,WDS,BVL1,Park Town,04:21:00,3
BVL1WDS,WDS,BVL1,Chintadripet,04:23:00,4
BVL1WDS,WDS,BVL1,Chepauk,04:25:00,5
BVL1WDS,WDS,BVL1,Tiruvellikeni,04:27:00,6
BVL1WDS,WDS,BVL1,Light House,04:29:00,7
BVL1WDS,WDS,BVL1,Thirumayilai,04:32:00,8
BVL1WDS,WDS,BVL1,Mandaveli,04:34:00,9
BVL1WDS,WDS,BVL1,Greenways Road,04:36:00,10
BVL1WDS,WDS,BVL1,Kotturpuram,04:38:00,11
BVL1WDS,WDS,BVL1,Kasturba Nagar,04:40:00,12
BVL1WDS,WDS,BVL1,Indira Nagar,04:42:00,13
BVL1WDS,WDS,BVL1,Thiruvanmiyur,04:43:00,14
BVL1WDS,WDS,BVL1,Tharamani,04:46:00,15
BVL1WDS,WDS,BVL1,Perungudi,04:48:00,16
BVL1WDS,WDS,BVL1,Velachery,04:55:00,17
BVL3WDS,WDS,BVL3,Chennai Beach,04:45:00,1
BVL3WDS,WDS,BVL3,Chennai Fort,04:49:00,2
BVL3WDS,WDS,BVL3,Park Town,04:51:00,3
BVL3WDS,WDS,BVL3,Chintadripet,04:53:00,4
BVL3WDS,WDS,BVL3,Chepauk,04:55:00,5
BVL3WDS,WDS,BVL3,Tiruvellikeni,04:57:00,6
BVL3WDS,WDS,BVL3,Light House,04:59:00,7
BVL3WDS,WDS,BVL3,Thirumayilai,05:02:00,8
BVL3WDS,WDS,BVL3,Mandaveli,05:04:00,9
BVL3WDS,WDS,BVL3,Greenways Road,05:06:00,10
BVL3WDS,WDS,BVL3,Kotturpuram,05:08:00,11
BVL3WDS,WDS,BVL3,Kasturba Nagar,05:10:00,12
BVL3WDS,WDS,BVL3,Indira Nagar,05:12:00,13
BVL3WDS,WDS,BVL3,Thiruvanmiyur,05:13:00,14
BVL3WDS,WDS,BVL3,Tharamani,05:16:00,15
BVL3WDS,WDS,BVL3,Perungudi,05:18:00,16
BVL3WDS,WDS,BVL3,Velachery,05:25:00,17
BVL5WDS,WDS,BVL5,Chennai Beach,05:15:00,1
BVL5WDS,WDS,BVL5,Chennai Fort,05:19:00,2
BVL5WDS,WDS,BVL5,Park Town,05:21:00,3
BVL5WDS,WDS,BVL5,Chintadripet,05:23:00,4
BVL5WDS,WDS,BVL5,Chepauk,05:25:00,5
BVL5WDS,WDS,BVL5,Tiruvellikeni,05:27:00,6
BVL5WDS,WDS,BVL5,Light House,05:29:00,7
BVL5WDS,WDS,BVL5,Thirumayilai,05:32:00,8
BVL5WDS,WDS,BVL5,Mandaveli,05:34:00,9
BVL5WDS,WDS,BVL5,Greenways Road,05:36:00,10
