trip_id,service_id,trip_short_name,stop_name,time,sequence
VLB2WDS,WDS,VLB2,Velachery,05:00:00,1
VLB2WDS,WDS,VLB2,Perungudi,05:03:00,2
VLB2WDS,WDS,VLB2,Tharamani,05:05:00,3
VLB2WDS,WDS,VLB2,Thiruvanmiyur,05:08:00,4
VLB2WDS,WDS,VLB2,Indira Nagar,05:09:00,5
VLB2WDS,WDS,VLB2,Kasturba Nagar,05:11:00,6
VLB2WDS,WDS,VLB2,Kotturpuram,05:13:00,7
VLB2WDS,WDS,VLB2,Greenways Road,05:15:00,8
VLB2WDS,WDS,VLB2,Mandaveli,05:17:00,9
VLB2WDS,WDS,VLB2,Thirumayilai,05:19:00,10
VLB2WDS,WDS,VLB2,Light House,05:22:00,11
VLB2WDS,WDS,VLB2,Tiruvellikeni,05:24:00,12
VLB2WDS,WDS,VLB2,Chepauk,05:26:00,13
VLB2WDS,WDS,VLB2,Chintadripet,05:28:00,14
VLB2WDS,WDS,VLB2,Park Town,05:30:00,15
VLB2WDS,WDS,VLB2,Chennai Fort,05:32:00,16
VLB2WDS,WDS,VLB2,Chennai Beach,05:40:00,17
VLB4WDS,WDS,VLB4,Velachery,05:30:00,1
VLB4WDS,WDS,VLB4,Perungudi,05:33:00,2
VLB4WDS,WDS,VLB4,Tharamani,05:35:00,3
VLB4WDS,WDS,VLB4,Thiruvanmiyur,05:38:00,4
VLB4WDS,WDS,VLB4,Indira Nagar,05:39:00,5
VLB4WDS,WDS,VLB4,Kasturba Nagar,05:41:00,6
VLB4WDS,WDS,VLB4,Kotturpuram,05:43:00,7
VLB4WDS,WDS,VLB4,Greenways Road,05:45:00,8
VLB4WDS,WDS,VLB4,Mandaveli,05:47:00,9
VLB4WDS,WDS,VLB4,Thirumayilai,05:49:00,10
VLB4WDS,WDS,VLB4,Light House,05:52:00,11
VLB4WDS,WDS,VLB4,Tiruvellikeni,05:54:00,12
VLB4WDS,WDS,VLB4,Chepauk,05:56:00,13
VLB4WDS,WDS,VLB4,Chintadripet,05:58:00,14
VLB4WDS,WDS,VLB4,Park Town,06:00:00,15
VLB4WDS,WDS,VLB4,Chennai Fort,06:02:00,16
VLB4WDS,WDS,VLB4,Chennai Beach,06:10:00,17
VLB6WDS,WDS,VLB6,Velachery,05:50:00,1
VLB6WDS,WDS,VLB6,Perungudi,05:53:00,2
VLB6WDS,WDS,VLB6,Tharamani,05:55:00,3
