"Train Nos.","Chennai Beach","Chennai Fort","Chennai Park","Chennai Egmore","Chetpet","Nungambakkam","Kodambakkam","Mambalam","Saidapet","Guindy","St. Thomas Mount","Palavanthangal","Minambakkam","Tirusulam","Pallavaram","Chromepet","Tambaram Sanatorium","Tambaram"
"BC1","3:55","3:59","4:02","4:05","4:09","4:12","4:14","4:16","4:19","4:22","4:25","4:28","4:31","4:33","4:36","4:39","4:42","4:50"
"T1","4:20","4:24","4:27","4:30","4:34","4:37","4:39","4:41","4:44","4:47","4:50","4:53","4:56","4:58","5:01","5:04","5:07","5:15"
"BC3","4:40","4:44","4:47","4:50","4:54","4:57","4:59","5:01","5:04","5:07","5:10","5:13","5:16","5:18","5:21","5:24","5:27","5:35"
"BC5","5:00","5:04","5:07","5:10","5:14","5:17","5:19","5:21","5:24","5:27","5:30","5:33","5:36","5:38","5:41","5:44","5:47","5:55"
"BC7","5:20","5:24","5:27","5:30","5:34","5:37","5:39","5:41","5:44","5:47","5:50","5:53","5:56","5:58","6:01","6:04","6:07","6:15"
"BC9","5:40","5:44","5:47","5:50","5:54","5:57","5:59","6:01","6:04","6:07","6:10","6:13","6:16","6:18","6:21","6:24","6:27","6:35"
"T3","5:55","5:59","6:02","6:05","6:09","6:12","6:14","6:16","6:19","6:22","6:25","6:28","6:31","6:33","6:36","6:39","6:42","6:50"
"T5","6:15","6:19","6:22","6:25","6:29","6:32","6:34","6:36","6:39","6:42","6:45","6:48","6:51","6:53","6:56","6:59","7:02","7:10"
"BC13","6:30","6:34","6:37","6:40","6:44","6:47","6:49","6:51","6:54","6:57","7:00","7:03","7:06","7:08","7:11","7:14","7:17","7:25"
"BC15","6:45","6:49","6:52","6:55","6:59","7:02","7:04","7:06","7:09","7:12","7:15","7:18","7:21","7:23","7:26","7:29","7:32","7:40"
"T7","7:10","7:14","7:17","7:20","7:24","7:27","7:29","7:31","7:34","7:37","7:40","7:43","7:46","7:48","7:51","7:54","7:57","8:05"
"T9","7:15","7:19","7:22","7:25","7:29","7:32","7:34","7:36","7:39","7:42","7:45","7:48","7:51","7:53","7:56","7:59","8:02","8:10"
"T11","7:25","7:29","7:32","7:35","7:39","7:42","7:44","7:46","7:49","7:52","7:55","7:58","8:01","8:03","8:06","8:09","8:12","8:20"
"BC17","7:35","7:39","7:42","7:45","7:49","7:52","7:54","7:56","7:59","8:02","8:05","8:08","8:11","8:13","8:16","8:19","8:22","8:30"
