"Train Nos.","Tambaram","Tambaram Sanatorium","Chromepet","Pallavaram","Tirusulam","Minambakkam","Palavanthangal","St. Thomas Mount","Guindy","Saidapet","Mambalam","Kodambakkam","Nungambakkam","Chetpet","Chennai Egmore","Chennai Park","Chennai Fort","Chennai Beach"
"B2","4:00","4:04","4:07","4:10","4:13","4:15","4:18","4:21","4:24","4:27","4:30","4:32","4:34","4:37","4:41","4:44","4:47","4:55"
"B4","4:20","4:24","4:27","4:30","4:33","4:35","4:38","4:41","4:44","4:47","4:50","4:52","4:54","4:57","5:01","5:04","5:07","5:15"
"B6","4:40","4:44","4:47","4:50","4:53","4:55","4:58","5:01","5:04","5:07","5:10","5:12","5:14","5:17","5:21","5:24","5:27","5:35"
"CB2","5:00","5:04","5:07","5:10","5:13","5:15","5:18","5:21","5:24","5:27","5:30","5:32","5:34","5:37","5:41","5:44","5:47","5:55"
"B8","5:15","5:19","5:22","5:25","5:28","5:30","5:33","5:36","5:39","5:42","5:45","5:47","5:49","5:52","5:56","5:59","6:02","6:10"
"CB4","5:25","5:29","5:32","5:35","5:38","5:40","5:43","5:46","5:49","5:52","5:55","5:57","5:59","6:02","6:06","6:09","6:12","6:20"
"CB6","5:40","5:44","5:47","5:50","5:53","5:55","5:58","6:01","6:04","6:07","6:10","6:12","6:14","6:17","6:21","6:24","6:27","6:35"
"CB8","6:00","6:04","6:07","6:10","6:13","6:15","6:18","6:21","6:24","6:27","6:30","6:32","6:34","6:37","6:41","6:44","6:47","6:55"
"B10","6:15","6:19","6:22","6:25","6:28","6:30","6:33","6:36","6:39","6:42","6:45","6:47","6:49","6:52","6:56","6:59","7:02","7:10"
"CB10","6:30","6:34","6:37","6:40","6:43","6:45","6:48","6:51","6:54","6:57","7:00","7:02","7:04","7:07","7:11","7:14","7:17","7:25"
"B12","6:45","6:49","6:52","6:55","6:58","7:00","7:03","7:06","7:09","7:12","7:15","7:17","7:19","7:22","7:26","7:29","7:32","7:40"
"B14","7:00","7:04","7:07","7:10","7:13","7:15","7:18","7:21","7:24","7:27","7:30","7:32","7:34","7:37","7:41","7:44","7:47","7:55"
"TLB2","7:15","7:19","7:22","7:25","7:28","7:30","7:33","7:36","7:39","7:42","7:45","7:47","7:49","7:52","7:56","7:59","8:02","8:10"
"B16","7:30","7:34","7:37","7:40","7:43","7:45","7:48","7:51","7:54","7:57","8:00","8:02","8:04","8:07","8:11","8:14","8:17","8:25"
"CB12","7:45","7:49","7:52","7:55","7:58","8:00","8:03","8:06","8:09","8:12","8:15","8:17","8:19","8:22","8:26","8:29","8:32","8:40"
"CB14","8:00","8:04","8:07","8:10","8:13","8:15","8:18","8:21","8:24","8:27","8:30","8:32","8:34","8:37","8:41","8:44","8:47","8:55"
"B18","8:15","8:19","8:22","8:25","8:28","8:30","8:33","8:36","8:39","8:42","8:45","8:47","8:49","8:52","8:56","8:59","9:02","9:10"
"CB16","8:25","8:29","8:32","8:35","8:38","8:40","8:43","8:46","8:49","8:52","8:55","8:57","8:59","9:02","9:06","9:09","9:12","9:20"
"CB18","8:35","8:39","8:42","8:45","8:48","8:50","8:53","8:56","8:59","9:02","9:05","9:07","9:09","9:12","9:16","9:19","9:22","9:30"
"TLB4","8:50","8:54","8:57","9:00","9:03","9:05","9:08","9:11","9:14","9:17","9:20","9:22","9:24","9:27","9:31","9:34","9:37","9:45"
"B20","9:00","9:04","9:07","9:10","9:13","9:15","9:18","9:21","9:24","9:27","9:30","9:32","9:34","9:37","9:41","9:44","9:47","9:55"
"CB22","9:10","9:14","9:17","9:20","9:23","9:25","9:28","9:31","9:34","9:37","9:40","9:42","9:44","9:47","9:51","9:54","9:57","10:05"
"B22","9:20","9:24","9:27","9:30","9:33","9:35","9:38","9:41","9:44","9:47","9:50","9:52","9:54","9:57","10:01","10:04","10:07","10:15"
"CB24","9:30","9:34","9:37","9:40","9:43","9:45","9:48","9:51","9:54","9:57","10:00","10:02","10:04","10:07","10:11","10:14","10:17","10:25"
"TLB6","9:35","9:39","9:42","9:45","9:48","9:50","9:53","9:56","9:59","10:02","10:05","10:07","10:09","10:12","10:16","10:19","10:22","10:30"
"B24","9:40","9:44","9:47","9:50","9:53","9:55","9:58","10:01","10:04","10:07","10:10","10:12","10:14","10:17","10:21","10:24","10:27","10:35"
"B26","9:50","9:54","9:57","10:00","10:03","10:05","10:08","10:11","10:14","10:17","10:20","10:22","10:24","10:27","10:31","10:34","10:37","10:45"
"B28","10:00","10:04","10:07","10:10","10:13","10:15","10:18","10:21","10:24","10:27","10:30","10:32","10:34","10:37","10:41","10:44","10:47","10:55"
"B30","10:10","10:14","10:17","10:20","10:23","10:25","10:28","10:31","10:34","10:37","10:40","10:42","10:44","10:47","10:51","10:54","10:57","11:05"
"B32","10:20","10:24","10:27","10:30","10:33","10:35","10:38","10:41","10:44","10:47","10:50","10:52","10:54","10:57","11:01","11:04","11:07","11:15"
"CB26","10:30","10:34","10:37","10:40","10:43","10:45","10:48","10:51","10:54","10:57","11:00","11:02","11:04","11:07","11:11","11:14","11:17","11:25"
"B34","10:40","10:44","10:47","10:50","10:53","10:55","10:58","11:01","11:04","11:07","11:10","11:12","11:14","11:17","11:21","11:24","11:27","11:35"
"B36","10:50","10:54","10:57","11:00","11:03","11:05","11:08","11:11","11:14","11:17","11:20","11:22","11:24","11:27","11:31","11:34","11:37","11:45"
"B38","11:00","11:04","11:07","11:10","11:13","11:15","11:18","11:21","11:24","11:27","11:30","11:32","11:34","11:37","11:41","11:44","11:47","11:55"
"B40","11:10","11:14","11:17","11:20","11:23","11:25","11:28","11:31","11:34","11:37","11:40","11:42","11:44","11:47","11:51","11:54","11:57","12:05"
"B42","11:20","11:24","11:27","11:30","11:33","11:35","11:38","11:41","11:44","11:47","11:50","11:52","11:54","11:57","12:01","12:04","12:07","12:15"
"CB28","11:30","11:34","11:37","11:40","11:43","11:45","11:48","11:51","11:54","11:57","12:00","12:02","12:04","12:07","12:11","12:14","12:17","12:25"
"B44","11:40","11:44","11:47","11:50","11:53","11:55","11:58","12:01","12:04","12:07","12:10","12:12","12:14","12:17","12:21","12:24","12:27","12:35"
"B46","11:50","11:54","11:57","12:00","12:03","12:05","12:08","12:11","12:14","12:17","12:20","12:22","12:24","12:27","12:31","12:34","12:37","12:45"
"TLB8","12:00","12:04","12:07","12:10","12:13","12:15","12:18","12:21","12:24","12:27","12:30","12:32","12:34","12:37","12:41","12:44","12:47","12:55"
"B48","12:10","12:14","12:17","12:20","12:23","12:25","12:28","12:31","12:34","12:37","12:40","12:42","12:44","12:47","12:51","12:54","12:57","13:05"
"B50","12:20","12:24","12:27","12:30","12:33","12:35","12:38","12:41","12:44","12:47","12:50","12:52","12:54","12:57","13:01","13:04","13:07","13:15"
"CB30","12:30","12:34","12:37","12:40","12:43","12:45","12:48","12:51","12:54","12:57","13:00","13:02","13:04","13:07","13:11","13:14","13:17","13:25"
"B52","12:40","12:44","12:47","12:50","12:53","12:55","12:58","13:01","13:04","13:07","13:10","13:12","13:14","13:17","13:21","13:24","13:27","13:35"
