"Train Nos.","Tambaram","Perungulathur","Vandalur","Urappakkam","Guduvancheri","Potheri","Kattangulathur","Maraimalai Nagar","Singaperumal koil","Paranur","Chengalpattu Jn."
"BC1","4:50","4:55","4:58","5:02","5:06","5:10","5:13","5:15","5:20","5:26","5:40"
"BC3","5:35","5:40","5:43","5:47","5:51","5:55","5:58","6:00","6:05","6:11","6:25"
"BC5","5:55","6:00","6:03","6:07","6:11","6:15","6:18","6:20","6:25","6:31","6:45"
"BC7","6:15","6:20","6:23","6:27","6:31","6:35","6:38","6:40","6:45","6:51","7:05"
"BC9","6:35","6:40","6:43","6:47","6:51","6:55","6:58","7:00","7:05","7:11","7:25"
"BC13","7:25","7:30","7:33","7:37","7:41","7:45","7:48","7:50","7:55","8:01","8:15"
"BC15","7:40","7:45","7:48","7:52","7:56","8:00","8:03","8:05","8:10","8:16","8:30"
"BC17","8:40","8:45","8:48","8:52","8:56","9:00","9:03","9:05","9:10","9:16","9:30"
"107P","9:25","9:30","9:33","9:37","9:41","9:45","9:48","9:50","9:55","10:01","10:05"
"BC19","9:55","10:00","10:03","10:07","10:11","10:15","10:18","10:20","10:25","10:31","10:40"
"BC21","10:35","10:40","10:43","10:47","10:51","10:55","10:58","11:00","11:05","11:11","11:30"
"BC23","11:10","11:15","11:18","11:22","11:26","11:30","11:33","11:35","11:40","11:46","12:00"
"BC25","11:55","12:00","12:03","12:07","12:11","12:15","12:18","12:20","12:25","12:31","12:40"
"BC27","12:55","13:00","13:03","13:07","13:11","13:15","13:18","13:20","13:25","13:31","13:40"
"BC29","13:25","13:30","13:33","13:37","13:41","13:45","13:48","13:50","13:55","14:01","14:10"
"BC31","14:10","14:15","14:18","14:22","14:26","14:30","14:33","14:35","14:40","14:46","14:55"
"BC33","14:40","14:45","14:48","14:52","14:56","15:00","15:03","15:05","15:10","15:16","15:25"
"BC35","15:08","15:13","15:16","15:20","15:24","15:28","15:31","15:33","15:38","15:44","15:55"
"BC37","15:42","15:47","15:50","15:54","15:58","16:02","16:05","16:07","16:12","16:18","16:35"
"BC39","16:30","16:35","16:38","16:42","16:46","16:50","16:53","16:55","17:00","17:06","17:15"
"BC41","17:10","17:15","17:18","17:22","17:26","17:30","17:33","17:35","17:40","17:46","17:55"
"BC43","17:45","17:50","17:53","17:57","18:01","18:05","18:08","18:10","18:15","18:21","18:35"
"BC45","18:10","18:15","18:18","18:22","18:26","18:30","18:33","18:35","18:40","18:46","18:55"
"BC47","18:35","18:40","18:43","18:47","18:51","18:55","18:58","19:00","19:05","19:11","19:20"
"BC49","19:05","19:10","19:13","19:17","19:21","19:25","19:28","19:30","19:35","19:41","20:00"
"BC51","19:25","19:30","19:33","19:37","19:41","19:45","19:48","19:50","19:55","20:01","20:15"
"BC53","19:45","19:50","19:53","19:57","20:01","20:05","20:08","20:10","20:15","20:21","20:30"
"BTL9","20:15","20:20","20:23","20:27","20:31","20:35","20:38","20:40","20:45","20:51","21:00"
"BC55","20:35","20:40","20:43","20:47","20:51","20:55","20:58","21:00","21:05","21:11","21:20"
"BC57","21:05","21:10","21:13","21:17","21:21","21:25","21:28","21:30","21:35","21:41","21:50"
"BC59","21:45","21:50","21:53","21:57","22:01","22:05","22:08","22:10","22:15","22:21","22:40"
"BC61","22:25","22:30","22:33","22:37","22:41","22:45","22:48","22:50","22:55","23:01","23:15"
"BC63","22:40","22:45","22:48","22:52","22:56","23:00","23:03","23:05","23:10","23:16","23:25"
"BC65","23:45","23:50","23:53","23:57","0:01","0:05","0:08","0:10","0:15","0:21","0:35"
