"Train Nos.","Chengalpattu Jn.","Paranur","Singaperumal koil","Maraimalai Nagar","Kattangulathur","Potheri","Guduvancheri","Urappakkam","Vandalur","Perungulathur","Tambaram"
"CB2","4:05","4:10","4:16","4:21","4:23","4:26","4:30","4:34","4:38","4:41","5:00"
"CB4","4:40","4:45","4:51","4:56","4:58","5:01","5:05","5:09","5:13","5:16","5:25"
"CB6","4:55","5:00","5:06","5:11","5:13","5:16","5:20","5:24","5:28","5:31","5:40"
"CB8","5:15","5:20","5:26","5:31","5:33","5:36","5:40","5:44","5:48","5:51","6:00"
"CB10","5:45","5:50","5:56","6:01","6:03","6:06","6:10","6:14","6:18","6:21","6:30"
"CB12","6:45","6:50","6:56","7:01","7:03","7:06","7:10","7:14","7:18","7:21","7:45"
"CB14","7:10","7:15","7:21","7:26","7:28","7:31","7:35","7:39","7:43","7:46","8:00"
"CB16","7:25","7:30","7:36","7:41","7:43","7:46","7:50","7:54","7:58","8:01","8:25"
"CB18","7:40","7:45","7:51","7:56","7:58","8:01","8:05","8:09","8:13","8:16","8:35"
"CB22","8:25","8:30","8:36","8:41","8:43","8:46","8:50","8:54","8:58","9:01","9:10"
"CB24","8:45","8:50","8:56","9:01","9:03","9:06","9:10","9:14","9:18","9:21","9:30"
"CB26","9:40","9:45","9:51","9:56","9:58","10:01","10:05","10:09","10:13","10:16","10:10"
"CB28","10:45","10:50","10:56","11:01","11:03","11:06","11:10","11:14","11:18","11:21","11:30"
"CB30","11:45","11:50","11:56","12:01","12:03","12:06","12:10","12:14","12:18","12:21","12:30"
"CB32","12:15","12:20","12:26","12:31","12:33","12:36","12:40","12:44","12:48","12:51","13:00"
"CB34","13:00","13:05","13:11","13:16","13:18","13:21","13:25","13:29","13:33","13:36","13:45"
"CB36","13:50","13:55","14:01","14:06","14:08","14:11","14:15","14:19","14:23","14:26","14:30"
"CB38","14:25","14:30","14:36","14:41","14:43","14:46","14:50","14:54","14:58","15:01","15:10"
"CB40","15:05","15:10","15:16","15:21","15:23","15:26","15:30","15:34","15:38","15:41","15:50"
"CB42","15:35","15:40","15:46","15:51","15:53","15:56","16:00","16:04","16:08","16:11","16:20"
"108P","16:10","16:15","16:21","16:26","16:28","16:31","16:35","16:39","16:43","16:46","17:00"
"CB44","16:30","16:35","16:41","16:46","16:48","16:51","16:55","16:59","17:03","17:06","17:30"
"CB46","17:00","17:05","17:11","17:16","17:18","17:21","17:25","17:29","17:33","17:36","17:50"
"CB48","17:30","17:35","17:40","17:44","17:46","17:49","17:52","17:56","18:00","18:03","18:10"
"CB50","18:10","18:15","18:21","18:26","18:28","18:31","18:35","18:39","18:43","18:46","19:00"
"CB52","18:40","18:45","18:51","18:56","18:58","19:01","19:05","19:09","19:13","19:16","19:30"
"CB54","19:15","19:20","19:26","19:31","19:33","19:36","19:40","19:44","19:48","19:51","20:00"
"CB56","19:55","20:00","20:06","20:11","20:13","20:16","20:20","20:24","20:28","20:31","20:40"
"CB58","20:25","20:30","20:36","20:41","20:43","20:46","20:50","20:54","20:58","21:01","21:15"
"CB60","20:45","20:50","20:56","21:01","21:03","21:06","21:10","21:14","21:18","21:21","21:30"
"CB62","21:20","21:25","21:31","21:36","21:38","21:41","21:45","21:49","21:53","21:56","22:05"
"CB64","22:15","22:20","22:26","22:31","22:33","22:36","22:40","22:44","22:48","22:51","23:00"
"CB66","23:10","23:15","23:21","23:26","23:28","23:31","23:35","23:39","23:43","23:46","23:55"
