"Train Nos.","Tambaram","Perungulathur","Vandalur","Urappakkam","Guduvancheri","Potheri","Kattangulathur","Maraimalai Nagar","Singaperumal koil","Paranur","Chengalpattu Jn."
"BC1","4:50","4:55","4:58","5:02","5:06","5:10","5:13","5:15","5:20","5:26","5:40"
"BC3","5:35","5:40","5:43","5:47","5:51","5:55","5:58","6:00","6:05","6:11","6:25"
"BC5","5:55","6:00","6:03","6:07","6:11","6:15","6:18","6:20","6:25","6:31","6:45"
"BC7","6:15","6:20","6:23","6:27","6:31","6:35","6:38","6:40","6:45","6:51","7:05"
"BC9","6:35","6:40","6:43","6:47","6:51","6:55","6:58","7:00","7:05","7:11","7:25"
"BC11","7:05","7:10","7:13","7:17","7:21","7:25","7:28","7:30","7:35","7:41","7:50"
"BC13","7:25","7:30","7:33","7:37","7:41","7:45","7:48","7:50","7:55","8:01","8:15"
"BC15","7:40","7:45","7:48","7:52","7:56","8:00","8:03","8:05","8:10","8:16","8:30"
"BC17","8:40","8:45","8:48","8:52","8:56","9:00","9:03","9:05","9:10","9:16","9:30"
"107P","9:20","9:25","9:28","9:32","9:36","9:40","9:43","9:45","9:50","9:56","10:03"
"BC19","9:51","9:56","9:59","10:03","10:07","10:11","10:14","10:16","10:21","10:27","10:40"
"BC21","10:40","10:45","10:48","10:52","10:56","11:00","11:03","11:05","11:10","11:16","11:25"
"BC23","11:10","11:15","11:18","11:22","11:26","11:30","11:33","11:35","11:40","11:46","11:55"
"BC25","11:55","12:00","12:03","12:07","12:11","12:15","12:18","12:20","12:25","12:31","12:40"
"BC27","12:50","12:55","12:58","13:02","13:06","13:10","13:13","13:15","13:20","13:26","13:40"
"BC29","13:25","13:30","13:33","13:37","13:41","13:45","13:48","13:50","13:55","14:01","14:10"
"BC31","14:05","14:10","14:13","14:17","14:21","14:25","14:28","14:30","14:35","14:41","14:50"
"BC33","14:42","14:47","14:50","14:54","14:58","15:02","15:05","15:07","15:12","15:18","15:30"
"BC35","15:08","15:13","15:16","15:20","15:24","15:28","15:31","15:33","15:38","15:44","15:55"
"BC37","15:42","15:47","15:50","15:54","15:58","16:02","16:05","16:07","16:12","16:18","16:35"
"BC39","16:30","16:35","16:38","16:42","16:46","16:50","16:53","16:55","17:00","17:06","17:15"
"BC41","17:10","17:15","17:18","17:22","17:26","17:30","17:33","17:35","17:40","17:46","17:55"
"BC43","17:35","17:40","17:43","17:47","17:51","17:55","17:58","18:00","18:05","18:11","18:20"
"BC45","18:10","18:15","18:18","18:22","18:26","18:30","18:33","18:35","18:40","18:46","19:00"
"BC47","18:33","18:38","18:41","18:45","18:49","18:53","18:56","18:58","19:03","19:09","19:20"
"BC49","19:01","19:07","19:10","19:14","19:18","19:22","19:25","19:27","19:32","19:38","19:50"
"BC51","19:15","19:20","19:23","19:27","19:31","19:35","19:38","19:40","19:45","19:51","20:05"
"BC53","19:37","19:42","19:45","19:49","19:53","19:57","20:00","20:02","20:07","20:13","20:30"
"BTL9","20:03","20:08","20:11","20:15","20:19","20:23","20:26","20:28","20:33","20:39","20:45"
"BC55","20:35","20:40","20:43","20:47","20:51","20:55","20:58","21:00","21:05","21:11","21:20"
"BC57","21:15","21:20","21:23","21:27","21:31","21:35","21:38","21:40","21:45","21:51","22:10"
"BC59","21:45","21:50","21:53","21:57","22:01","22:05","22:08","22:10","22:15","22:21","22:35"
"BC61","22:15","22:20","22:23","22:27","22:31","22:35","22:38","22:40","22:45","22:51","23:05"
"BC63","22:40","22:45","22:48","22:52","22:56","23:00","23:03","23:05","23:10","23:16","23:30"
"BC65","23:40","23:45","23:48","23:52","23:56","0:00","0:03","0:05","0:10","0:16","0:35"
